isoform_id	category	E1	E2	E3
139	novel_not_in_catalog	1.0	1.0	0.0
140	full-splice_match	1.0	1.0	1.0
141	novel_in_catalog	1.0	0.0	0.0
142	full-splice_match	1.0	0.0	0.0
143	novel_not_in_catalog	1.0	0.0	0.0
144	novel_not_in_catalog	1.0	0.0	0.0
145	novel_not_in_catalog	1.0	0.0	0.0
146	novel_in_catalog	1.0	1.0	1.0
147	novel_not_in_catalog	1.0	1.0	0.0
148	novel_not_in_catalog	1.0	1.0	1.0
149	full-splice_match	1.0	1.0	1.0
150	full-splice_match	1.0	1.0	1.0
151	novel_in_catalog	1.0	0.0	0.0
152	novel_not_in_catalog	1.0	0.0	0.0
153	full-splice_match	1.0	1.0	1.0
154	incomplete-splice_match	1.0	1.0	1.0
155	novel_not_in_catalog	1.0	0.0	0.0
156	full-splice_match	1.0	1.0	0.0
157	novel_in_catalog	1.0	0.0	0.0
158	incomplete-splice_match	1.0	0.0	1.0
159	incomplete-splice_match	1.0	1.0	1.0
160	incomplete-splice_match	1.0	0.0	0.0
161	incomplete-splice_match	1.0	0.0	0.0
162	novel_in_catalog	1.0	0.0	1.0
163	novel_in_catalog	1.0	0.0	0.0
164	novel_in_catalog	1.0	1.0	1.0
165	full-splice_match	1.0	1.0	1.0
166	novel_not_in_catalog	1.0	0.0	1.0
167	novel_not_in_catalog	1.0	0.0	0.0
168	full-splice_match	1.0	1.0	0.0
169	full-splice_match	1.0	1.0	0.0
170	full-splice_match	1.0	0.0	1.0
171	full-splice_match	1.0	1.0	1.0
172	novel_in_catalog	1.0	1.0	1.0
173	incomplete-splice_match	1.0	0.0	0.0
174	novel_in_catalog	1.0	1.0	1.0
175	novel_in_catalog	1.0	1.0	1.0
176	full-splice_match	1.0	1.0	1.0
177	novel_in_catalog	1.0	0.0	1.0
178	novel_not_in_catalog	1.0	1.0	1.0
179	full-splice_match	1.0	1.0	1.0
180	full-splice_match	1.0	1.0	1.0
181	novel_in_catalog	1.0	1.0	1.0
182	novel_not_in_catalog	1.0	0.0	0.0
183	full-splice_match	1.0	1.0	1.0
184	full-splice_match	1.0	1.0	1.0
185	novel_not_in_catalog	1.0	1.0	1.0
186	novel_in_catalog	1.0	1.0	0.0
187	incomplete-splice_match	1.0	1.0	1.0
188	incomplete-splice_match	1.0	1.0	1.0
189	incomplete-splice_match	1.0	0.0	0.0
190	incomplete-splice_match	1.0	1.0	1.0
191	full-splice_match	1.0	1.0	1.0
192	full-splice_match	1.0	1.0	1.0
193	full-splice_match	1.0	1.0	1.0
194	novel_in_catalog	1.0	1.0	1.0
195	novel_not_in_catalog	1.0	0.0	0.0
196	novel_not_in_catalog	1.0	0.0	0.0
197	novel_not_in_catalog	1.0	1.0	1.0
198	full-splice_match	1.0	1.0	1.0
199	novel_in_catalog	1.0	1.0	0.0
200	novel_in_catalog	1.0	0.0	1.0
201	full-splice_match	1.0	1.0	1.0
202	novel_in_catalog	1.0	0.0	1.0
203	full-splice_match	1.0	1.0	1.0
204	full-splice_match	1.0	1.0	1.0
205	full-splice_match	1.0	1.0	1.0
206	novel_not_in_catalog	1.0	1.0	0.0
207	full-splice_match	1.0	1.0	1.0
208	full-splice_match	1.0	0.0	1.0
209	full-splice_match	1.0	0.0	1.0
210	full-splice_match	1.0	1.0	1.0
211	full-splice_match	1.0	0.0	0.0
212	novel_in_catalog	1.0	1.0	1.0
213	novel_in_catalog	1.0	0.0	0.0
214	full-splice_match	1.0	1.0	1.0
215	full-splice_match	1.0	1.0	1.0
216	full-splice_match	1.0	0.0	1.0
217	novel_not_in_catalog	1.0	1.0	1.0
218	full-splice_match	1.0	1.0	1.0
219	novel_in_catalog	1.0	1.0	1.0
220	novel_not_in_catalog	1.0	0.0	1.0
221	novel_in_catalog	1.0	1.0	1.0
222	novel_not_in_catalog	1.0	1.0	1.0
223	novel_in_catalog	1.0	0.0	1.0
224	novel_not_in_catalog	1.0	1.0	1.0
225	novel_in_catalog	1.0	1.0	1.0
226	full-splice_match	1.0	1.0	1.0
227	novel_in_catalog	1.0	1.0	1.0
228	novel_not_in_catalog	1.0	1.0	1.0
229	full-splice_match	1.0	1.0	1.0
230	novel_not_in_catalog	1.0	0.0	0.0
231	novel_not_in_catalog	1.0	0.0	1.0
232	full-splice_match	1.0	1.0	0.0
233	novel_in_catalog	1.0	1.0	0.0
234	full-splice_match	1.0	0.0	0.0
235	incomplete-splice_match	1.0	1.0	0.0
236	incomplete-splice_match	1.0	1.0	1.0
237	incomplete-splice_match	1.0	1.0	1.0
238	full-splice_match	1.0	1.0	0.0
239	full-splice_match	1.0	1.0	1.0
240	full-splice_match	1.0	1.0	1.0
241	full-splice_match	1.0	1.0	1.0
242	full-splice_match	1.0	1.0	1.0
243	full-splice_match	1.0	1.0	1.0
244	full-splice_match	1.0	1.0	1.0
245	incomplete-splice_match	1.0	0.0	1.0
246	novel_in_catalog	1.0	0.0	0.0
247	novel_not_in_catalog	1.0	1.0	0.0
248	incomplete-splice_match	1.0	1.0	1.0
249	novel_not_in_catalog	1.0	0.0	1.0
250	novel_in_catalog	1.0	0.0	0.0
251	incomplete-splice_match	1.0	1.0	1.0
252	incomplete-splice_match	1.0	1.0	1.0
253	novel_in_catalog	1.0	0.0	1.0
254	novel_in_catalog	1.0	1.0	1.0
255	full-splice_match	1.0	1.0	1.0
256	novel_in_catalog	1.0	0.0	1.0
257	full-splice_match	1.0	1.0	1.0
258	incomplete-splice_match	1.0	1.0	0.0
259	incomplete-splice_match	1.0	0.0	0.0
260	novel_not_in_catalog	1.0	1.0	1.0
261	novel_not_in_catalog	1.0	1.0	1.0
262	novel_not_in_catalog	1.0	1.0	1.0
263	novel_not_in_catalog	1.0	0.0	1.0
264	novel_not_in_catalog	1.0	0.0	0.0
265	novel_not_in_catalog	1.0	1.0	1.0
266	novel_not_in_catalog	1.0	1.0	1.0
267	novel_not_in_catalog	1.0	0.0	1.0
268	novel_not_in_catalog	1.0	0.0	1.0
269	novel_not_in_catalog	1.0	1.0	1.0
270	full-splice_match	1.0	1.0	1.0
271	novel_not_in_catalog	1.0	1.0	1.0
272	incomplete-splice_match	1.0	1.0	1.0
273	novel_not_in_catalog	1.0	1.0	1.0
274	novel_in_catalog	1.0	1.0	1.0
275	full-splice_match	1.0	1.0	0.0
276	novel_not_in_catalog	1.0	0.0	0.0
277	full-splice_match	1.0	1.0	1.0
278	full-splice_match	1.0	0.0	1.0
279	novel_not_in_catalog	1.0	0.0	0.0
280	novel_in_catalog	1.0	1.0	1.0
281	novel_in_catalog	1.0	1.0	0.0
282	novel_not_in_catalog	1.0	0.0	0.0
283	full-splice_match	1.0	1.0	1.0
284	incomplete-splice_match	1.0	0.0	1.0
285	novel_not_in_catalog	1.0	1.0	1.0
286	full-splice_match	1.0	1.0	1.0
287	incomplete-splice_match	1.0	1.0	1.0
288	novel_not_in_catalog	1.0	0.0	0.0
289	incomplete-splice_match	1.0	1.0	0.0
290	incomplete-splice_match	1.0	1.0	1.0
291	full-splice_match	1.0	1.0	1.0
292	novel_not_in_catalog	1.0	0.0	0.0
293	full-splice_match	1.0	1.0	1.0
294	novel_in_catalog	1.0	1.0	1.0
295	novel_in_catalog	1.0	0.0	0.0
296	full-splice_match	1.0	1.0	1.0
297	incomplete-splice_match	1.0	0.0	0.0
298	full-splice_match	1.0	1.0	1.0
299	novel_not_in_catalog	1.0	0.0	0.0
300	novel_in_catalog	1.0	0.0	0.0
301	full-splice_match	1.0	1.0	1.0
302	novel_in_catalog	1.0	1.0	1.0
303	novel_in_catalog	1.0	0.0	1.0
304	full-splice_match	1.0	1.0	1.0
305	full-splice_match	1.0	1.0	1.0
306	full-splice_match	1.0	1.0	1.0
307	incomplete-splice_match	1.0	1.0	0.0
308	novel_not_in_catalog	1.0	0.0	0.0
309	full-splice_match	1.0	1.0	1.0
310	full-splice_match	1.0	0.0	0.0
311	full-splice_match	1.0	1.0	1.0
312	full-splice_match	1.0	1.0	1.0
313	full-splice_match	1.0	1.0	1.0
314	novel_in_catalog	1.0	0.0	0.0
315	novel_not_in_catalog	1.0	0.0	1.0
316	novel_in_catalog	1.0	0.0	0.0
317	novel_not_in_catalog	1.0	0.0	0.0
318	novel_in_catalog	1.0	1.0	0.0
319	novel_in_catalog	1.0	1.0	0.0
