	E1	E3
320	1662.0	2586.0
321	130.0	120.0
322	5.0	5.0
323	14.0	25.0
324	2.0	3.0
325	2.0	0.0
326	3.0	0.0
327	36.0	39.0
328	9.0	4.0
329	2.0	0.0
330	314.0	270.0
331	3.0	0.0
332	3.0	0.0
333	3.0	0.0
334	18.0	3.0
335	11.0	6.0
336	63.0	45.0
337	2.0	2.0
338	58.0	60.0
339	23.0	0.0
340	5.0	7.0
341	247.0	129.0
342	5.0	0.0
343	2.0	0.0
344	2.0	0.0
345	7.0	0.0
346	98.0	84.0
347	226.0	77.0
348	5.0	0.0
349	16.0	0.0
350	3.0	4.0
351	67.0	87.0
352	35.0	43.0
353	8.0	10.0
354	2427.0	3138.0
355	7.0	0.0
356	86.0	45.0
357	6.0	0.0
358	48.0	20.0
359	9.0	4.0
360	164.0	0.0
361	3.0	5.0
362	8.0	0.0
363	16.0	6.0
364	109.0	89.0
365	2.0	0.0
366	5.0	2.0
367	21.0	39.0
368	3.0	0.0
369	50.0	32.0
370	3.0	0.0
371	1035.0	610.0
372	2.0	0.0
373	3.0	2.0
374	2.0	16.0
375	2.0	0.0
376	7.0	2.0
377	3.0	3.0
378	2.0	0.0
379	4.0	0.0
380	3.0	0.0
381	45.0	10.0
382	9.0	8.0
383	8.0	9.0
384	2.0	2.0
385	30.0	19.0
386	2.0	0.0
387	7.0	0.0
388	30.0	30.0
389	2.0	0.0
390	7.0	2.0
391	9.0	0.0
392	3.0	0.0
393	16.0	0.0
394	355.0	612.0
395	22.0	10.0
396	2.0	0.0
397	9.0	17.0
398	2.0	80.0
399	7.0	24.0
400	156.0	360.0
401	1185.0	501.0
402	10.0	11.0
403	6.0	2.0
404	2.0	0.0
405	2.0	0.0
406	3.0	2.0
407	14.0	2.0
408	2.0	0.0
409	91.0	0.0
410	2.0	0.0
411	8.0	4.0
412	113.0	240.0
413	2.0	0.0
414	27.0	18.0
415	15.0	38.0
416	2.0	0.0
417	4.0	32.0
418	7.0	2.0
419	67.0	80.0
420	4.0	0.0
421	4.0	2.0
422	7.0	12.0
423	2.0	4.0
424	2.0	0.0
425	18.0	17.0
426	2.0	0.0
427	327.0	362.0
428	4.0	6.0
429	2.0	0.0
430	7.0	0.0
431	16.0	13.0
432	6.0	4.0
433	37.0	65.0
434	34.0	46.0
435	2.0	0.0
436	10.0	0.0
437	20.0	0.0
438	264.0	414.0
439	4.0	13.0
440	22.0	13.0
441	2.0	0.0
442	3.0	0.0
443	18.0	6.0
444	5.0	0.0
445	2.0	0.0
446	49.0	33.0
447	2.0	3.0
448	3.0	2.0
449	2.0	0.0
450	42.0	30.0
451	50.0	34.0
452	2.0	3.0
453	2.0	3.0
454	379.0	544.0
455	22.0	29.0
456	10.0	0.0
457	2.0	0.0
458	2.0	0.0
459	12.0	9.0
460	38.0	11.0
461	2.0	3.0
462	43.0	26.0
463	2.0	0.0
464	3.0	0.0
465	37.0	31.0
466	27.0	77.0
467	3.0	0.0
468	3.0	0.0
469	2.0	0.0
470	2.0	0.0
471	225.0	37.0
472	7.0	0.0
473	3.0	0.0
474	10.0	0.0
475	3.0	0.0
476	11.0	0.0
477	3.0	0.0
478	2.0	6.0
479	11.0	0.0
480	170.0	50.0
481	2.0	0.0
482	50.0	10.0
483	52.0	27.0
484	572.0	1030.0
485	2.0	0.0
486	3.0	3.0
487	7.0	3.0
488	12.0	8.0
489	2.0	0.0
490	120.0	155.0
491	11.0	0.0
492	2.0	0.0
493	7.0	0.0
494	18.0	24.0
495	2.0	0.0
496	3.0	40.0
497	7.0	0.0
498	3.0	14.0
499	5.0	0.0
500	64.0	131.0
501	2.0	0.0
502	4.0	10.0
503	50.0	180.0
504	3.0	0.0
505	2.0	2.0
506	3.0	0.0
507	2.0	0.0
508	2.0	0.0
509	127.0	235.0
510	2.0	0.0
511	6.0	6.0
512	6.0	10.0
513	30.0	56.0
514	17.0	29.0
515	400.0	1049.0
516	2.0	0.0
517	18.0	41.0
518	12.0	31.0
519	2.0	0.0
520	44.0	2.0
521	15.0	18.0
522	54.0	18.0
523	7.0	0.0
524	2.0	0.0
525	86.0	0.0
526	2.0	2.0
527	21.0	0.0
528	32.0	27.0
529	2.0	0.0
530	83.0	81.0
531	2.0	0.0
532	13.0	19.0
533	2.0	0.0
534	2.0	0.0
535	2.0	0.0
536	26.0	35.0
537	4.0	0.0
538	23.0	39.0
539	3.0	2.0
540	2.0	4.0
541	2.0	0.0
542	6.0	13.0
543	2.0	0.0
544	7.0	3.0
545	4.0	5.0
546	3.0	3.0
547	2.0	0.0
548	31.0	79.0
549	2.0	8.0
550	2.0	0.0
551	2.0	0.0
552	3.0	0.0
553	2.0	0.0
554	504.0	591.0
555	210.0	385.0
556	70.0	48.0
557	2.0	0.0
558	2.0	0.0
559	2.0	0.0
560	2.0	0.0
561	2.0	3.0
562	2.0	0.0
563	4.0	6.0
564	133.0	159.0
565	2.0	0.0
566	2.0	0.0
567	11.0	3.0
568	7.0	8.0
569	13.0	0.0
570	7.0	6.0
571	221.0	99.0
572	2.0	0.0
573	4.0	0.0
574	2.0	0.0
575	2.0	0.0
576	96.0	56.0
577	18.0	4.0
578	106.0	86.0
579	11.0	25.0
580	8.0	9.0
581	4.0	0.0
582	8.0	0.0
583	2.0	0.0
584	2.0	3.0
585	2.0	0.0
586	186.0	271.0
587	2.0	0.0
588	15.0	18.0
589	5.0	0.0
590	48.0	18.0
591	3.0	0.0
592	2.0	0.0
593	558.0	462.0
594	5.0	0.0
595	167.0	39.0
596	2.0	2.0
597	2.0	0.0
598	2.0	0.0
599	2.0	3.0
600	4.0	8.0
601	2.0	0.0
602	4.0	0.0
603	2.0	0.0
604	2.0	2.0
605	2.0	0.0
606	67.0	75.0
607	4.0	0.0
608	414.0	409.0
609	5.0	0.0
610	6.0	6.0
611	200.0	284.0
612	193.0	270.0
613	118.0	180.0
614	29.0	50.0
615	15.0	15.0
616	5.0	0.0
617	10.0	23.0
618	8.0	0.0
619	6.0	5.0
620	3.0	0.0
621	3.0	8.0
622	3.0	2.0
623	2.0	0.0
624	9.0	0.0
625	2.0	0.0
626	2.0	2.0
627	28.0	7.0
628	2.0	0.0
629	8.0	0.0
630	116.0	16.0
631	3.0	0.0
632	5.0	0.0
633	3.0	3.0
634	125.0	57.0
635	2.0	5.0
636	114.0	85.0
637	3.0	0.0
638	235.0	140.0
639	2.0	2.0
640	6.0	2.0
641	2.0	0.0
642	2.0	0.0
643	2.0	3.0
644	2.0	0.0
645	100.0	71.0
646	2.0	0.0
647	5.0	2.0
648	12.0	2.0
649	5.0	0.0
650	2.0	0.0
651	2.0	0.0
652	3.0	0.0
653	2.0	2.0
654	19.0	0.0
655	4.0	0.0
656	2.0	0.0
657	11.0	3.0
658	16.0	6.0
659	724.0	758.0
660	13.0	0.0
661	90.0	41.0
662	2.0	0.0
663	4.0	11.0
664	28.0	18.0
665	4.0	0.0
666	5.0	0.0
667	2.0	0.0
668	2.0	0.0
669	10.0	12.0
670	8.0	10.0
671	2.0	3.0
672	33.0	0.0
673	18.0	16.0
674	2.0	312.0
675	3.0	0.0
676	2.0	2.0
677	9.0	0.0
678	11.0	0.0
679	2.0	0.0
680	222.0	405.0
681	192.0	0.0
682	4.0	0.0
683	20.0	0.0
684	7.0	7.0
685	23.0	23.0
686	21.0	35.0
687	2.0	0.0
688	46.0	103.0
689	7.0	18.0
690	19.0	16.0
691	3.0	0.0
692	72.0	70.0
693	786.0	0.0
694	2.0	0.0
695	297.0	439.0
696	2.0	0.0
697	12.0	7.0
698	116.0	80.0
699	2.0	0.0
700	60.0	38.0
701	3.0	0.0
702	4.0	0.0
703	29.0	21.0
704	2.0	0.0
705	4.0	4.0
706	5.0	0.0
707	9.0	0.0
708	82.0	36.0
709	128.0	113.0
710	2.0	0.0
711	2.0	0.0
712	31.0	19.0
713	6.0	24.0
714	3.0	3.0
715	2.0	0.0
716	439.0	683.0
717	2.0	11.0
718	2.0	0.0
719	4.0	2.0
720	10.0	5.0
721	6.0	18.0
722	3.0	0.0
723	6.0	13.0
724	31.0	24.0
725	14.0	11.0
726	12.0	6.0
727	9.0	18.0
728	2.0	0.0
729	3.0	0.0
730	22.0	31.0
731	6.0	4.0
732	16.0	0.0
733	13.0	3.0
734	4.0	12.0
735	4.0	0.0
736	391.0	593.0
737	150.0	138.0
738	5.0	0.0
739	3.0	0.0
740	299.0	664.0
741	2.0	0.0
742	13.0	3.0
743	28.0	27.0
744	16.0	28.0
745	100.0	134.0
746	2.0	0.0
747	19.0	2.0
748	4.0	0.0
749	8.0	5.0
750	3.0	0.0
751	5.0	0.0
752	1331.0	948.0
753	2.0	0.0
754	14.0	2.0
755	2.0	0.0
756	3.0	0.0
757	2.0	0.0
758	6.0	0.0
759	3.0	0.0
760	4.0	5.0
761	3.0	9.0
762	2.0	0.0
763	113.0	0.0
764	4.0	2.0
765	7.0	57.0
766	14.0	0.0
767	21.0	0.0
768	32.0	8.0
769	3.0	0.0
770	2.0	0.0
771	2.0	3.0
772	4.0	0.0
773	13.0	2.0
774	134.0	179.0
775	7.0	4.0
776	4.0	4.0
777	2.0	0.0
778	8.0	0.0
779	70.0	65.0
780	10.0	5.0
781	49.0	32.0
782	2.0	0.0
783	7.0	4.0
784	4.0	0.0
785	2.0	0.0
786	2.0	4.0
787	2.0	5.0
788	25.0	20.0
789	2.0	2.0
790	9.0	19.0
791	342.0	156.0
792	2.0	0.0
793	7.0	0.0
794	2.0	0.0
795	167.0	124.0
796	4.0	0.0
797	2.0	0.0
798	15.0	20.0
799	97.0	128.0
800	8.0	4.0
801	8.0	6.0
